City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pecanha,BR,-18.5486,-42.5569,55.18,77,3,2.77,clear sky
1,Port Alfred,ZA,-33.5906,26.891,57.24,60,65,3.74,broken clouds
2,Mackenzie,CA,55.2999,-123.1698,66.42,63,100,3.44,overcast clouds
3,Cherskiy,RU,68.75,161.3,64.27,36,9,7.18,clear sky
4,Tukrah,LY,32.5341,20.5791,77.0,88,0,4.68,clear sky
5,Hermanus,ZA,-34.4187,19.2345,48.74,81,0,11.14,clear sky
6,Progreso,MX,21.2833,-89.6667,75.0,88,98,5.19,overcast clouds
7,Altamont,US,42.2068,-121.7372,89.44,20,0,13.8,clear sky
8,East London,ZA,-33.0153,27.9116,58.5,58,100,5.1,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,75.42,80,17,15.95,few clouds
10,Haines Junction,CA,60.7522,-137.5108,58.95,67,100,1.14,overcast clouds
11,Hobart,AU,-42.8794,147.3294,58.26,75,40,5.75,scattered clouds
12,Kearney,US,40.6995,-99.0815,73.31,72,0,6.91,clear sky
13,Punta Arenas,CL,-53.15,-70.9167,35.71,69,0,9.22,clear sky
14,Bathsheba,BB,13.2167,-59.5167,81.21,93,40,9.22,scattered clouds
15,Kharod,IN,21.75,82.5667,78.73,84,100,8.03,overcast clouds
16,Dikson,RU,73.5069,80.5464,48.51,96,100,11.32,light rain
17,Beloha,MG,-25.1667,45.05,60.21,86,0,2.84,clear sky
18,Avera,US,33.194,-82.5271,78.85,79,100,6.85,overcast clouds
19,Puerto Ayora,EC,-0.7393,-90.3518,69.55,91,100,7.0,overcast clouds
20,Tamandare,BR,-8.7597,-35.1047,71.64,87,75,9.98,broken clouds
21,Nikolskoye,RU,59.7035,30.7861,62.8,95,32,3.02,scattered clouds
22,Longyearbyen,SJ,78.2186,15.6401,46.24,93,75,8.05,broken clouds
23,Miles City,US,46.4083,-105.8406,83.37,32,75,16.11,broken clouds
24,Berbera,SO,10.4396,45.0143,87.46,42,100,21.97,overcast clouds
25,Fujin,CN,47.26,132.0322,71.96,80,100,4.88,overcast clouds
26,Clyde River,CA,70.4692,-68.5914,43.03,100,100,5.75,overcast clouds
27,Sembakung,ID,3.8167,117.25,88.97,60,98,1.74,overcast clouds
28,Yarmouth,US,41.7057,-70.2286,80.71,89,75,14.97,broken clouds
29,Mount Isa,AU,-20.7333,139.5,83.97,24,0,6.91,clear sky
