City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
14,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
15,Kharod,IN,78.73,overcast clouds,21.75,82.5667,STARiHOTELS Sheorinarayan
23,Miles City,US,83.37,broken clouds,46.4083,-105.8406,FairBridge Inn & Suites Miles City
28,Yarmouth,US,80.71,broken clouds,41.7057,-70.2286,Blue Rock Resort
29,Mount Isa,AU,83.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
35,San Miguel,SV,82.06,clear sky,13.4833,-88.1833,Excalibur
40,Meulaboh,ID,81.5,moderate rain,4.1363,96.1285,Kost Pria
52,Dwarka,IN,82.38,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
53,Butaritari,KI,82.56,few clouds,3.0707,172.7902,Isles Sunset Lodge
59,Marawi,PH,79.72,overcast clouds,7.9986,124.2928,Derogongan Residence
61,Kavieng,PG,84.47,light rain,-2.5744,150.7967,Nusa Island Retreat
68,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
80,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
85,Ponta Do Sol,PT,82.13,few clouds,32.6667,-17.1,Hotel do Campo
95,Havelock,US,80.94,clear sky,34.8791,-76.9013,Sherwood Motel
97,Puerto Colombia,CO,80.69,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
111,Kavaratti,IN,81.73,overcast clouds,10.5669,72.642,Green leaf
139,Westport,US,84.02,few clouds,41.1415,-73.3579,The Westport Inn
151,Luganville,VU,82.54,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
152,Hithadhoo,MV,81.9,broken clouds,-0.6,73.0833,Scoop Guest House
160,Guhagar,IN,79.18,overcast clouds,17.4842,73.1929,Hotel Seawinds
168,Alpharetta,US,83.52,broken clouds,34.0754,-84.2941,Hilton Garden Inn Atlanta Northpoint
171,Pundaguitan,PH,82.74,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
175,Son La,VN,83.5,scattered clouds,21.3167,103.9,Galaxy Grand Hotel
177,Shitanjing,CN,82.69,broken clouds,39.2342,106.3439,Yingbin Hotel
178,Bengkulu,ID,79.48,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
180,Hamilton,US,80.4,moderate rain,39.1834,-84.5333,Six Acres Bed & Breakfast
183,Shujaabad,PK,80.65,overcast clouds,29.8797,71.2931,Amir jewellery collection
184,Culebra,PR,82.44,clear sky,18.303,-65.301,Palmetto Guesthouse
192,Worthington,US,82.45,scattered clouds,40.0931,-83.018,Sheraton Suites Columbus Worthington
200,Burley,US,82.36,clear sky,42.5357,-113.7928,Fairfield Inn & Suites by Marriott Burley
209,Maningrida,AU,84.13,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
210,Katsuura,JP,82.92,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
212,Tomohon,ID,81.54,broken clouds,1.3346,124.8392,Gardenia Country Inn
213,Faanui,PF,78.35,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
214,Indramayu,ID,82.56,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
215,Namatanai,PG,82.81,light rain,-3.6667,152.4333,Seagulls Inn Namatani
218,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
227,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
240,Tabanan,ID,82.8,broken clouds,-8.5413,115.1252,Puri Anom Homestay
245,Kamaishi,JP,80.06,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
255,Khandyga,RU,80.47,clear sky,62.6667,135.6,Apel'sin
257,Atambua,ID,80.11,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
260,Sorong,ID,82.24,broken clouds,-0.8833,131.25,Waigo Splash Hotel
262,Ugoofaaru,MV,81.73,broken clouds,5.6667,73.0,Ungoofaaru Inn
263,Nieuw Amsterdam,SR,80.02,overcast clouds,5.8833,-55.0833,Hotel Stardust
265,Paracuru,BR,79.11,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
272,Palmer,US,83.57,light rain,42.1584,-72.3287,Wedgewood Motel
282,Ashland,US,79.34,overcast clouds,40.8167,-82.2665,SureStay
283,Samarai,PG,79.86,broken clouds,-10.6167,150.6667,Nuli Sapi
291,Hohhot,CN,79.09,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
301,Biak,ID,82.06,overcast clouds,-0.9131,122.8766,Penginapan Kim
315,Ixtapa,MX,79.23,overcast clouds,20.7,-105.2,hotel la terminal
317,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
327,Fukue,JP,82.76,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
336,Livramento,BR,84.87,clear sky,-3.0254,-60.1803,Refúgio Samauma
337,Aswan,EG,83.5,clear sky,24.0934,32.907,Nuba Nile
339,Bethel,US,82.76,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
343,Diffa,NE,84.51,broken clouds,13.3154,12.6113,ProDAF/Diffa
356,Urusha,RU,82.18,clear sky,54.05,122.9,Dom Otdykha Lokomotivnykh Brigad
359,Payo,ID,80.64,overcast clouds,-3.7508,103.6372,Mess keban agung
370,Kudahuvadhoo,MV,81.99,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
373,Les Cayes,HT,78.53,scattered clouds,18.2,-73.75,Villa Orphee
375,Matamoros,MX,83.19,scattered clouds,25.5333,-103.25,Quinta Belem
386,Mantua,IT,81.64,clear sky,45.1667,10.7833,Hotel la Favorita
390,Praia,CV,79.11,overcast clouds,14.9215,-23.5087,LT Aparthotel
404,Bocas Del Toro,PA,79.65,broken clouds,9.3333,-82.25,Hotel Bocas del Toro
405,Makakilo City,US,83.95,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
408,Anori,BR,79.92,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
419,Hit,IQ,83.88,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
420,Fuyu,CN,78.93,broken clouds,45.1833,124.8167,Education Hostel
425,Tynda,RU,81.63,clear sky,55.1667,124.7167,"Gostinitsa ""Tayezhnaya"""
