City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Quatre Cocos,MU,2022-07-23 23:10:36,-20.2078,57.7625,69.1,77,49,14.76
1,Rikitea,PF,2022-07-23 23:10:36,-23.1203,-134.9692,72.91,63,0,8.39
2,Salalah,OM,2022-07-23 23:07:52,17.0151,54.0924,77.09,94,75,6.91
3,Clarence Town,AU,2022-07-23 23:10:37,-32.5833,151.7833,54.99,84,17,1.83
4,Caravelas,BR,2022-07-23 23:10:37,-17.7125,-39.2481,70.59,76,0,6.64
5,Mataura,NZ,2022-07-23 23:10:37,-46.1927,168.8643,42.21,69,80,1.36
6,Hilo,US,2022-07-23 23:10:38,19.7297,-155.09,85.28,87,100,6.91
7,Jamestown,US,2022-07-23 23:10:38,42.097,-79.2353,79.72,81,75,5.75
8,Albany,US,2022-07-23 23:10:38,42.6001,-73.9662,91.17,47,19,3.4
9,Del Rio,US,2022-07-23 23:10:39,29.3627,-100.8968,100.8,26,0,18.41
10,North Bend,US,2022-07-23 23:10:39,43.4065,-124.2243,76.91,76,0,24.16
11,Ahuimanu,US,2022-07-23 23:10:39,21.4447,-157.8378,91.11,61,75,18.41
12,Langen,DE,2022-07-23 23:10:40,49.9933,8.6728,73.51,60,0,11.5
13,Bluff,NZ,2022-07-23 23:08:16,-46.6,168.3333,39.79,82,43,5.01
14,Ushuaia,AR,2022-07-23 23:07:27,-54.8,-68.3,27.25,87,66,6.64
15,Vaini,TO,2022-07-23 23:10:40,-21.2,-175.2,71.47,66,100,21.52
16,Tiksi,RU,2022-07-23 23:10:41,71.6872,128.8694,48.85,78,31,6.17
17,Kapaa,US,2022-07-23 23:07:41,22.0752,-159.319,84.52,66,20,12.66
18,Severo-Kurilsk,RU,2022-07-23 23:08:00,50.6789,156.125,56.82,88,55,4.23
19,Sur,OM,2022-07-23 23:10:33,22.5667,59.5289,86.83,68,41,9.22
20,San Quintin,MX,2022-07-23 23:10:41,30.4833,-115.95,71.64,66,22,9.46
21,Nikolskoye,RU,2022-07-23 23:10:42,59.7035,30.7861,62.15,98,62,4.41
22,Yellowknife,CA,2022-07-23 23:10:42,62.456,-114.3525,70.57,36,18,14.16
23,Puerto Ayora,EC,2022-07-23 23:07:22,-0.7393,-90.3518,70.56,87,78,8.99
24,Hermanus,ZA,2022-07-23 23:10:42,-34.4187,19.2345,53.37,68,66,4.61
25,Georgetown,MY,2022-07-23 23:10:43,5.4112,100.3354,77.9,90,20,5.75
26,Upernavik,GL,2022-07-23 23:10:43,72.7868,-56.1549,42.94,96,100,4.52
27,Goderich,CA,2022-07-23 23:10:43,43.7501,-81.7165,79.57,71,46,8.77
28,Cape Town,ZA,2022-07-23 23:06:42,-33.9258,18.4232,55.38,70,6,7.0
29,Punta Arenas,CL,2022-07-23 23:10:44,-53.15,-70.9167,35.31,69,73,11.88
30,Komsomolskiy,UZ,2022-07-23 23:10:44,40.4272,71.7189,84.92,28,2,11.5
31,Ponta Do Sol,PT,2022-07-23 23:09:12,32.6667,-17.1,74.12,61,3,2.66
32,Victoria,HK,2022-07-23 23:10:45,22.2855,114.1577,87.96,77,31,5.01
33,New Norfolk,AU,2022-07-23 23:10:45,-42.7826,147.0587,50.13,94,100,2.1
34,Vostok,RU,2022-07-23 23:10:45,46.4856,135.8833,62.76,92,100,0.74
35,Lompoc,US,2022-07-23 23:10:46,34.6391,-120.4579,70.0,53,4,13.91
36,Hobart,AU,2022-07-23 23:07:04,-42.8794,147.3294,49.26,94,75,3.44
37,Anadyr,RU,2022-07-23 23:10:46,64.75,177.4833,51.49,61,100,3.18
38,Sao Felix Do Xingu,BR,2022-07-23 23:10:46,-6.6447,-51.995,77.88,43,99,0.74
